,oak_count,oak_score,oak_mentions_count,black_fruit_count,black_fruit_score,black_fruit_mentions_count,earth_count,earth_score,earth_mentions_count,red_fruit_count,red_fruit_score,red_fruit_mentions_count,spices_count,spices_score,spices_mentions_count,microbio_count,microbio_score,microbio_mentions_count,floral_count,floral_score,floral_mentions_count,tree_fruit_count,tree_fruit_score,tree_fruit_mentions_count,dried_fruit_count,dried_fruit_score,dried_fruit_mentions_count,vegetal_count,vegetal_score,vegetal_mentions_count,non_oak_count,non_oak_score,non_oak_mentions_count,citrus_fruit_count,citrus_fruit_score,citrus_fruit_mentions_count,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,calculated_structure_count,tropical_fruit_count,tropical_fruit_score,tropical_fruit_mentions_count
1473611,197.0,21566.0,220.0,152.0,20437.0,208.0,158.0,17794.0,199.0,87.0,8759.0,85.0,133.0,11783.0,121.0,38.0,1974.0,9.0,29.0,3250.0,31.0,6.0,600.0,6.0,19.0,1636.0,17.0,17.0,933.0,7.0,129.0,3368.0,18.0,4.0,400.0,4.0,3.917461,,4.1231422,1.6692636,4.073969,37.0,268.0,,,
2988844,85.0,10270.0,110.0,42.0,6163.0,64.0,36.0,2947.0,31.0,97.0,11527.0,113.0,33.0,2223.0,26.0,7.0,316.0,1.0,5.0,425.0,4.0,2.0,200.0,2.0,13.0,1147.0,12.0,3.0,225.0,2.0,56.0,1557.0,5.0,3.0,300.0,3.0,3.4033394,,3.2879074,1.7596027,2.1400325,66.0,136.0,,,
83918,17.0,1005.0,9.0,13.0,1108.0,12.0,17.0,1606.0,19.0,26.0,3571.0,35.0,11.0,824.0,8.0,5.0,400.0,3.0,6.0,600.0,6.0,,,,3.0,121.0,1.0,2.0,200.0,2.0,10.0,165.0,1.0,1.0,100.0,1.0,4.107403,,3.0603077,1.8677895,2.6162589,38.0,52.0,,,
4455,55.0,5886.0,63.0,24.0,2740.0,29.0,29.0,3102.0,34.0,83.0,11712.0,116.0,41.0,2389.0,24.0,4.0,243.0,1.0,7.0,725.0,7.0,4.0,400.0,4.0,3.0,48.0,0.0,4.0,235.0,2.0,43.0,1020.0,5.0,4.0,500.0,5.0,3.375213,,3.1713336,1.5756643,1.9674135,61.0,134.0,,,
1128247,131.0,16891.0,182.0,141.0,20973.0,213.0,89.0,7947.0,81.0,65.0,5534.0,52.0,59.0,3830.0,40.0,10.0,590.0,4.0,12.0,900.0,8.0,2.0,200.0,2.0,13.0,1166.0,12.0,6.0,220.0,1.0,73.0,1649.0,4.0,3.0,300.0,3.0,3.4010286,,4.78679,1.6685508,3.501268,163.0,312.0,,,
1290160,6.0,581.0,6.0,3.0,287.0,3.0,7.0,568.0,6.0,3.0,213.0,2.0,2.0,212.0,2.0,1.0,100.0,1.0,,,,,,,,,,,,,3.0,39.0,0.0,,,,3.5130768,,4.0105042,1.3355438,3.989973,16.0,9.0,,,
1513317,12.0,851.0,9.0,16.0,1855.0,19.0,12.0,1189.0,12.0,6.0,429.0,4.0,10.0,1200.0,12.0,,,,1.0,100.0,1.0,,,,1.0,16.0,0.0,,,,4.0,60.0,0.0,,,,3.9089355,,4.6513124,1.8222773,3.4716833,2.0,29.0,,,
1223420,44.0,6601.0,72.0,26.0,3312.0,34.0,34.0,3076.0,31.0,25.0,2594.0,25.0,22.0,1611.0,16.0,4.0,325.0,3.0,1.0,100.0,1.0,1.0,100.0,1.0,3.0,294.0,3.0,,,,30.0,587.0,0.0,2.0,200.0,2.0,3.5482101,,4.4943905,1.8380992,3.5045388,142.0,66.0,,,
2046207,6.0,1051.0,11.0,4.0,600.0,6.0,3.0,540.0,6.0,,,,2.0,42.0,0.0,2.0,133.0,1.0,,,,,,,,,,,,,3.0,34.0,0.0,,,,3.0080278,,4.446165,2.3757656,3.3358622,56.0,2.0,,,
1444024,16.0,2612.0,29.0,15.0,1696.0,17.0,10.0,852.0,8.0,8.0,726.0,7.0,8.0,757.0,8.0,,,,1.0,100.0,1.0,,,,3.0,269.0,3.0,,,,9.0,288.0,0.0,,,,,,,,,,,,,
