,oak_count,oak_score,oak_mentions_count,black_fruit_count,black_fruit_score,black_fruit_mentions_count,earth_count,earth_score,earth_mentions_count,red_fruit_count,red_fruit_score,red_fruit_mentions_count,spices_count,spices_score,spices_mentions_count,microbio_count,microbio_score,microbio_mentions_count,floral_count,floral_score,floral_mentions_count,tree_fruit_count,tree_fruit_score,tree_fruit_mentions_count,dried_fruit_count,dried_fruit_score,dried_fruit_mentions_count,vegetal_count,vegetal_score,vegetal_mentions_count,non_oak_count,non_oak_score,non_oak_mentions_count,citrus_fruit_count,citrus_fruit_score,citrus_fruit_mentions_count,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,calculated_structure_count,tropical_fruit_count,tropical_fruit_score,tropical_fruit_mentions_count
94912,150.0,18003.0,200.0,120.0,16834.0,172.0,107.0,9280.0,94.0,66.0,5024.0,47.0,68.0,5180.0,51.0,9.0,615.0,4.0,10.0,925.0,9.0,,,,10.0,815.0,8.0,5.0,198.0,1.0,95.0,2026.0,3.0,2.0,200.0,2.0,3.8979893,,3.9871633,1.5448381,3.7961192,31.0,260.0,,,
1695662,43.0,4987.0,54.0,47.0,7235.0,73.0,24.0,1966.0,20.0,22.0,1965.0,19.0,14.0,1095.0,11.0,9.0,425.0,2.0,1.0,25.0,0.0,,,,6.0,546.0,6.0,3.0,135.0,1.0,26.0,621.0,4.0,1.0,100.0,1.0,3.3668516,,4.875157,1.6574142,3.4603364,42.0,107.0,1.0,100.0,1.0
1238266,117.0,17496.0,190.0,80.0,11463.0,117.0,47.0,3192.0,32.0,43.0,3323.0,31.0,74.0,5946.0,58.0,15.0,1209.0,10.0,5.0,425.0,4.0,1.0,100.0,1.0,14.0,914.0,9.0,2.0,45.0,0.0,67.0,1587.0,5.0,,,,2.9459252,,4.7348185,2.2237372,3.0911176,73.0,153.0,,,
17818,121.0,13532.0,144.0,97.0,13254.0,134.0,94.0,9367.0,99.0,54.0,4885.0,47.0,50.0,4140.0,41.0,12.0,915.0,7.0,6.0,525.0,5.0,1.0,100.0,1.0,9.0,752.0,8.0,2.0,125.0,1.0,75.0,1872.0,8.0,,,,3.4358685,,4.695772,1.692578,3.6380086,68.0,211.0,1.0,33.0,0.0
2284774,12.0,1396.0,14.0,8.0,1200.0,12.0,6.0,479.0,6.0,4.0,500.0,5.0,8.0,1217.0,12.0,1.0,133.0,1.0,,,,,,,,,,2.0,200.0,2.0,7.0,175.0,1.0,,,,,,,,,,,,,
91567,12.0,1409.0,16.0,1.0,100.0,1.0,11.0,1091.0,11.0,9.0,1100.0,11.0,7.0,136.0,1.0,3.0,150.0,1.0,,,,,,,1.0,100.0,1.0,1.0,100.0,1.0,10.0,314.0,2.0,,,,2.206302,,4.1219134,2.063928,2.9239855,29.0,20.0,,,
14847,43.0,7135.0,69.0,34.0,5342.0,55.0,27.0,2673.0,32.0,19.0,1816.0,17.0,22.0,1857.0,20.0,6.0,482.0,4.0,3.0,300.0,3.0,,,,6.0,424.0,4.0,,,,26.0,671.0,3.0,,,,3.074759,,4.2753043,1.8051224,3.091083,125.0,60.0,,,
1382462,29.0,3106.0,32.0,14.0,1600.0,16.0,20.0,2245.0,25.0,10.0,1400.0,14.0,15.0,1163.0,12.0,5.0,300.0,2.0,1.0,100.0,1.0,3.0,300.0,3.0,1.0,100.0,1.0,1.0,100.0,1.0,18.0,386.0,1.0,,,,3.8268292,,3.9597409,1.8538672,3.5849493,71.0,45.0,,,
7774865,40.0,6412.0,66.0,37.0,4774.0,48.0,25.0,2214.0,26.0,14.0,1426.0,14.0,25.0,1133.0,11.0,7.0,423.0,3.0,,,,,,,1.0,100.0,1.0,1.0,10.0,0.0,31.0,708.0,3.0,,,,3.0447443,,4.7787213,1.948606,3.3098722,41.0,47.0,,,
1260668,15.0,2295.0,26.0,5.0,955.0,10.0,12.0,890.0,8.0,4.0,229.0,2.0,6.0,324.0,3.0,1.0,33.0,0.0,,,,,,,1.0,16.0,0.0,,,,11.0,258.0,1.0,,,,2.8080432,,4.063621,2.1988294,2.9635334,159.0,16.0,,,
1272205,19.0,2369.0,23.0,18.0,3996.0,41.0,15.0,2154.0,24.0,16.0,1404.0,13.0,7.0,481.0,5.0,9.0,443.0,2.0,2.0,200.0,2.0,,,,,,,,,,9.0,353.0,4.0,,,,3.14921,,4.6485224,1.7522678,3.7729452,113.0,32.0,,,
4320380,8.0,839.0,10.0,11.0,1448.0,15.0,8.0,616.0,6.0,7.0,352.0,3.0,6.0,330.0,3.0,,,,2.0,200.0,2.0,,,,,,,1.0,100.0,1.0,7.0,115.0,0.0,,,,3.3697855,,4.992618,1.4898713,3.5865235,7.0,16.0,,,
5107190,27.0,3270.0,34.0,21.0,3487.0,35.0,18.0,1800.0,19.0,6.0,513.0,5.0,12.0,886.0,9.0,3.0,333.0,3.0,6.0,625.0,6.0,1.0,100.0,1.0,,,,1.0,25.0,0.0,13.0,161.0,0.0,1.0,100.0,1.0,2.8536634,,3.9347336,2.2066169,2.5290701,99.0,46.0,,,
1780777,19.0,2311.0,25.0,13.0,1585.0,16.0,18.0,2039.0,21.0,5.0,426.0,4.0,4.0,281.0,3.0,1.0,50.0,0.0,2.0,300.0,3.0,,,,2.0,189.0,2.0,1.0,20.0,0.0,13.0,199.0,0.0,1.0,100.0,1.0,3.4091332,,4.7960663,1.4033833,3.3246,9.0,46.0,,,
5520,184.0,25052.0,262.0,152.0,19758.0,203.0,103.0,8873.0,96.0,93.0,8363.0,79.0,91.0,6801.0,67.0,16.0,1265.0,10.0,8.0,925.0,9.0,4.0,500.0,5.0,12.0,661.0,6.0,8.0,645.0,6.0,102.0,2224.0,8.0,4.0,500.0,5.0,3.3910372,,4.797001,1.7379419,3.4404967,196.0,362.0,1.0,33.0,0.0
1189647,73.0,11203.0,117.0,54.0,8069.0,82.0,41.0,3566.0,41.0,33.0,2759.0,26.0,47.0,2978.0,29.0,15.0,1165.0,9.0,4.0,500.0,5.0,1.0,100.0,1.0,15.0,1418.0,15.0,1.0,100.0,1.0,55.0,1142.0,4.0,4.0,400.0,4.0,3.0695257,,4.7037826,2.07096,2.9730134,20.0,105.0,,,
88180,75.0,5462.0,53.0,41.0,4176.0,44.0,93.0,11276.0,123.0,98.0,10414.0,102.0,24.0,1862.0,19.0,15.0,949.0,5.0,19.0,2150.0,21.0,3.0,300.0,3.0,7.0,610.0,6.0,4.0,250.0,2.0,31.0,551.0,2.0,2.0,200.0,2.0,4.3151813,,2.9258058,1.8708035,2.554957,90.0,171.0,2.0,200.0,2.0
1808235,52.0,6156.0,64.0,57.0,8675.0,88.0,40.0,3759.0,40.0,27.0,2020.0,19.0,29.0,2463.0,26.0,5.0,341.0,3.0,4.0,325.0,3.0,,,,5.0,387.0,4.0,4.0,325.0,3.0,33.0,649.0,1.0,,,,3.9453073,,3.970606,1.6539806,3.5269685,15.0,111.0,,,
66224,92.0,10642.0,119.0,78.0,10682.0,108.0,89.0,9376.0,102.0,31.0,2446.0,23.0,41.0,3854.0,39.0,28.0,1476.0,5.0,12.0,1125.0,11.0,2.0,200.0,2.0,7.0,663.0,7.0,14.0,1368.0,13.0,57.0,1268.0,2.0,,,,2.4023008,,4.0132947,2.024032,3.1180813,88.0,127.0,,,
1955519,44.0,4393.0,46.0,24.0,3261.0,33.0,33.0,2819.0,29.0,18.0,1739.0,17.0,18.0,1194.0,14.0,8.0,666.0,6.0,3.0,150.0,1.0,,,,,,,2.0,50.0,0.0,26.0,728.0,4.0,,,,3.4528368,,4.8381195,1.47175,3.592576,33.0,68.0,,,
66194,225.0,19774.0,205.0,138.0,16262.0,167.0,240.0,33124.0,365.0,136.0,13008.0,126.0,114.0,11998.0,124.0,85.0,3795.0,16.0,40.0,3850.0,37.0,1.0,100.0,1.0,20.0,1821.0,18.0,22.0,1463.0,13.0,139.0,2806.0,9.0,9.0,900.0,9.0,4.7197,,3.8737087,1.6334233,4.397181,68.0,432.0,4.0,199.0,1.0
23793,260.0,28499.0,319.0,167.0,22953.0,231.0,251.0,27337.0,280.0,95.0,10132.0,100.0,92.0,6124.0,61.0,39.0,2608.0,17.0,21.0,1875.0,18.0,3.0,400.0,4.0,13.0,1188.0,12.0,21.0,1751.0,16.0,185.0,3833.0,9.0,7.0,700.0,7.0,4.1214285,,4.180282,1.6167032,4.0629716,165.0,472.0,2.0,300.0,3.0
1107322,408.0,52514.0,567.0,354.0,48898.0,497.0,268.0,23063.0,238.0,218.0,21319.0,206.0,223.0,12504.0,130.0,39.0,2361.0,15.0,27.0,2525.0,24.0,7.0,700.0,7.0,38.0,2957.0,30.0,16.0,1345.0,12.0,273.0,5781.0,14.0,4.0,400.0,4.0,3.343107,,4.672484,1.6142882,3.2728856,317.0,763.0,3.0,233.0,2.0
1173568,120.0,14435.0,168.0,103.0,14689.0,149.0,90.0,7190.0,66.0,40.0,3201.0,30.0,53.0,3773.0,36.0,10.0,676.0,4.0,6.0,600.0,6.0,,,,8.0,601.0,6.0,7.0,700.0,7.0,87.0,1635.0,3.0,1.0,100.0,1.0,3.8649824,,4.649179,1.8672245,3.5977962,57.0,210.0,1.0,100.0,1.0
1871982,28.0,3361.0,38.0,30.0,4509.0,46.0,13.0,1110.0,11.0,21.0,1891.0,18.0,16.0,845.0,8.0,4.0,165.0,1.0,1.0,25.0,0.0,,,,,,,2.0,225.0,2.0,17.0,369.0,1.0,,,,3.4540417,,4.924479,1.6585501,3.1962063,34.0,62.0,,,
82091,8.0,521.0,4.0,8.0,1479.0,15.0,6.0,751.0,9.0,1.0,16.0,0.0,6.0,1000.0,10.0,,,,1.0,100.0,1.0,1.0,100.0,1.0,2.0,105.0,1.0,,,,2.0,28.0,0.0,,,,3.1836522,,4.553653,1.2267827,3.9957392,2.0,9.0,,,
1369726,,,,,,,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,4.255,1.5,2.416,1.0,1.0,,,
8075594,7.0,1245.0,13.0,6.0,1155.0,12.0,4.0,341.0,4.0,4.0,429.0,4.0,7.0,430.0,4.0,,,,1.0,100.0,1.0,,,,1.0,16.0,0.0,1.0,100.0,1.0,7.0,184.0,1.0,,,,3.7731707,,5.0,1.549756,3.6680489,8.0,8.0,1.0,100.0,1.0
5006663,16.0,1858.0,19.0,13.0,2632.0,28.0,9.0,824.0,9.0,30.0,3336.0,32.0,9.0,643.0,7.0,3.0,166.0,1.0,1.0,25.0,0.0,,,,2.0,32.0,0.0,4.0,325.0,3.0,5.0,59.0,0.0,3.0,400.0,4.0,3.0870695,,3.3208969,1.9792075,1.9693117,41.0,31.0,,,
1839089,21.0,2261.0,24.0,21.0,2566.0,26.0,31.0,4107.0,46.0,15.0,1529.0,15.0,10.0,848.0,9.0,17.0,694.0,2.0,1.0,400.0,4.0,,,,2.0,105.0,1.0,1.0,20.0,0.0,12.0,270.0,1.0,3.0,300.0,3.0,4.800042,,3.8321877,1.4150491,4.545498,26.0,53.0,1.0,100.0,1.0
1901664,22.0,2453.0,25.0,7.0,868.0,9.0,10.0,959.0,10.0,9.0,916.0,9.0,9.0,649.0,7.0,1.0,11.0,0.0,1.0,25.0,0.0,,,,1.0,16.0,0.0,1.0,25.0,0.0,8.0,78.0,0.0,,,,3.5270872,,4.92947,1.4876173,3.6345828,7.0,54.0,,,
3127311,12.0,1007.0,12.0,8.0,968.0,10.0,15.0,1621.0,17.0,9.0,1216.0,12.0,7.0,1100.0,11.0,7.0,250.0,1.0,,,,,,,1.0,16.0,0.0,,,,8.0,122.0,0.0,,,,4.368782,,3.916971,1.776758,4.4070168,24.0,20.0,,,
1205587,28.0,4459.0,50.0,40.0,5357.0,55.0,29.0,3256.0,33.0,15.0,1290.0,12.0,17.0,1014.0,11.0,7.0,516.0,3.0,4.0,250.0,2.0,,,,5.0,153.0,1.0,2.0,50.0,0.0,21.0,555.0,2.0,1.0,100.0,1.0,3.5203328,,4.6026525,1.358535,3.611554,21.0,62.0,,,
1183238,13.0,1233.0,13.0,17.0,1800.0,18.0,14.0,1111.0,11.0,17.0,2200.0,22.0,8.0,305.0,5.0,,,,4.0,175.0,1.0,,,,,,,3.0,75.0,0.0,10.0,201.0,1.0,,,,3.810037,,4.8841004,1.2711504,3.3243601,9.0,66.0,,,
75816,156.0,21223.0,230.0,119.0,17404.0,178.0,114.0,10962.0,111.0,63.0,5255.0,49.0,78.0,7508.0,76.0,24.0,1527.0,11.0,21.0,1950.0,19.0,1.0,100.0,1.0,17.0,1505.0,15.0,5.0,193.0,1.0,99.0,2673.0,12.0,7.0,700.0,7.0,3.0208917,,3.4392178,1.9734948,2.9705102,189.0,215.0,1.0,100.0,1.0
98838,41.0,7033.0,74.0,28.0,4171.0,43.0,28.0,2048.0,22.0,21.0,1997.0,19.0,27.0,2062.0,22.0,9.0,557.0,4.0,5.0,500.0,5.0,,,,2.0,32.0,0.0,,,,32.0,900.0,4.0,,,,3.5631106,,4.008625,1.6386154,3.7430913,94.0,55.0,,,
1754831,60.0,7842.0,85.0,60.0,9023.0,92.0,42.0,3214.0,33.0,25.0,1472.0,13.0,33.0,3635.0,37.0,6.0,300.0,2.0,,,,1.0,100.0,1.0,4.0,296.0,3.0,3.0,320.0,3.0,36.0,865.0,2.0,,,,3.8819463,,3.969059,1.6016463,4.004534,19.0,108.0,1.0,33.0,0.0
1167555,125.0,13829.0,152.0,87.0,10976.0,111.0,87.0,8764.0,89.0,47.0,4456.0,43.0,47.0,4001.0,41.0,20.0,1608.0,13.0,6.0,450.0,4.0,1.0,100.0,1.0,14.0,1414.0,15.0,8.0,520.0,5.0,71.0,2282.0,10.0,5.0,600.0,6.0,3.3914344,,4.2327876,1.7196453,3.5420377,66.0,192.0,,,
1241949,31.0,3987.0,42.0,22.0,2985.0,30.0,26.0,2622.0,28.0,5.0,426.0,4.0,13.0,1016.0,10.0,2.0,74.0,0.0,3.0,300.0,3.0,1.0,100.0,1.0,3.0,280.0,3.0,1.0,200.0,2.0,23.0,510.0,2.0,,,,3.380272,,4.7459073,2.0279841,3.5207713,36.0,72.0,,,
1099307,125.0,13636.0,147.0,95.0,12964.0,132.0,130.0,15032.0,164.0,58.0,4192.0,39.0,46.0,4686.0,46.0,40.0,1907.0,7.0,17.0,1900.0,19.0,3.0,300.0,3.0,15.0,1726.0,18.0,6.0,550.0,6.0,80.0,1907.0,7.0,4.0,500.0,5.0,3.357991,,4.109069,1.8237647,3.583047,84.0,206.0,1.0,100.0,1.0
2312932,,,,,,,,,,16.0,1600.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035626,5.0,669.0,7.0,4.0,400.0,4.0,3.0,144.0,2.0,4.0,500.0,5.0,4.0,318.0,3.0,1.0,100.0,1.0,,,,,,,,,,,,,4.0,69.0,0.0,,,,3.2099998,,3.7708333,1.0,3.7491665,0.0,2.0,,,
1839538,6.0,834.0,10.0,1.0,100.0,1.0,9.0,736.0,8.0,1.0,100.0,1.0,3.0,124.0,1.0,3.0,125.0,0.0,,,,,,,1.0,191.0,2.0,,,,6.0,90.0,0.0,,,,4.1866255,,4.205691,1.5977236,4.488699,8.0,17.0,1.0,100.0,1.0
1228549,40.0,3368.0,39.0,27.0,2478.0,26.0,43.0,5240.0,54.0,49.0,6319.0,62.0,38.0,4290.0,42.0,6.0,258.0,0.0,6.0,700.0,7.0,,,,14.0,1276.0,13.0,3.0,300.0,3.0,26.0,771.0,4.0,5.0,500.0,5.0,3.0813825,,4.2682734,1.9052824,2.8821301,41.0,82.0,1.0,100.0,1.0
5519,44.0,5308.0,54.0,48.0,6975.0,71.0,35.0,2690.0,31.0,22.0,1620.0,15.0,23.0,1864.0,18.0,5.0,341.0,2.0,2.0,200.0,2.0,,,,3.0,205.0,2.0,4.0,320.0,3.0,23.0,377.0,1.0,,,,3.4124944,,4.8548713,1.7236662,3.4339175,56.0,107.0,,,
2020318,55.0,6370.0,64.0,42.0,6243.0,64.0,43.0,4265.0,48.0,28.0,2136.0,20.0,22.0,2250.0,23.0,9.0,609.0,5.0,3.0,300.0,3.0,1.0,100.0,1.0,5.0,303.0,3.0,4.0,70.0,0.0,37.0,954.0,5.0,,,,2.9939175,,4.828202,1.4811914,3.3310826,23.0,143.0,,,
2110485,19.0,2966.0,32.0,19.0,3059.0,31.0,16.0,1672.0,17.0,12.0,1052.0,10.0,11.0,604.0,7.0,1.0,100.0,1.0,2.0,50.0,0.0,,,,1.0,89.0,1.0,2.0,50.0,0.0,14.0,258.0,0.0,,,,3.8468266,,4.833727,1.8297969,3.5619926,10.0,29.0,,,
1219048,17.0,2147.0,25.0,9.0,966.0,10.0,9.0,628.0,5.0,9.0,929.0,9.0,6.0,124.0,2.0,5.0,410.0,4.0,4.0,325.0,3.0,1.0,100.0,1.0,10.0,987.0,10.0,4.0,235.0,2.0,16.0,449.0,2.0,1.0,100.0,1.0,2.0510416,,4.6901703,3.6649432,2.0738637,26.0,29.0,,,
98586,117.0,11260.0,130.0,74.0,8187.0,88.0,120.0,14814.0,148.0,115.0,11165.0,107.0,68.0,5386.0,60.0,19.0,1024.0,3.0,20.0,1475.0,13.0,2.0,200.0,2.0,26.0,1830.0,17.0,16.0,1308.0,11.0,90.0,2151.0,9.0,6.0,600.0,6.0,3.8872097,,3.099939,1.8717716,3.6416924,69.0,185.0,,,
1679571,62.0,7868.0,83.0,43.0,5596.0,57.0,37.0,2983.0,30.0,30.0,2704.0,26.0,25.0,1581.0,18.0,2.0,150.0,1.0,4.0,250.0,2.0,,,,4.0,400.0,4.0,2.0,50.0,0.0,31.0,518.0,0.0,2.0,200.0,2.0,3.4010384,,4.8506193,1.5789889,3.2513618,38.0,119.0,,,
1169881,71.0,8317.0,93.0,72.0,9420.0,96.0,52.0,4819.0,49.0,33.0,2485.0,23.0,37.0,3775.0,38.0,13.0,910.0,5.0,6.0,625.0,6.0,2.0,200.0,2.0,12.0,1186.0,12.0,7.0,558.0,5.0,49.0,1305.0,7.0,,,,3.1537178,,3.4559746,2.0932345,3.0195935,119.0,113.0,,,
4184137,2.0,220.0,2.0,3.0,400.0,4.0,2.0,258.0,3.0,,,,2.0,106.0,1.0,1.0,100.0,1.0,,,,,,,,,,,,,2.0,16.0,0.0,,,,3.8573625,,3.9423769,1.9224638,3.4108405,18.0,5.0,,,
1983257,2.0,233.0,3.0,2.0,200.0,2.0,3.0,253.0,2.0,1.0,100.0,1.0,,,,1.0,133.0,1.0,,,,,,,,,,,,,2.0,81.0,1.0,,,,,,,,,,,,,
2686797,12.0,1440.0,14.0,7.0,787.0,8.0,21.0,1821.0,22.0,28.0,4413.0,44.0,12.0,902.0,11.0,8.0,366.0,0.0,4.0,425.0,4.0,3.0,300.0,3.0,,,,1.0,25.0,0.0,11.0,321.0,2.0,1.0,100.0,1.0,,,,,,,,,,
2899486,1.0,35.0,0.0,1.0,387.0,4.0,3.0,458.0,5.0,2.0,213.0,2.0,1.0,100.0,1.0,1.0,50.0,0.0,1.0,300.0,3.0,,,,,,,1.0,150.0,2.0,1.0,7.0,0.0,,,,3.3625429,,3.670743,1.1312572,3.4501712,21.0,3.0,,,
5351911,4.0,414.0,5.0,1.0,87.0,1.0,3.0,81.0,0.0,3.0,213.0,2.0,2.0,218.0,2.0,,,,,,,,,,,,,,,,3.0,87.0,1.0,,,,2.8839588,,4.4779177,1.1956298,3.1395116,26.0,2.0,,,
83225,786.0,90845.0,982.0,617.0,84174.0,857.0,536.0,48086.0,487.0,412.0,40576.0,393.0,422.0,35183.0,356.0,87.0,6409.0,47.0,44.0,3900.0,36.0,18.0,1800.0,18.0,39.0,2364.0,22.0,39.0,2633.0,22.0,440.0,8330.0,23.0,19.0,2000.0,20.0,3.4423294,,4.6807647,1.5193828,3.4254165,443.0,1580.0,3.0,300.0,3.0
1418787,22.0,2336.0,24.0,12.0,1942.0,20.0,5.0,577.0,6.0,11.0,942.0,9.0,6.0,218.0,3.0,1.0,100.0,1.0,1.0,100.0,1.0,,,,1.0,16.0,0.0,,,,9.0,169.0,0.0,,,,3.2609363,,4.8610377,1.4404467,3.2794523,13.0,41.0,,,
2073887,36.0,4004.0,41.0,26.0,3274.0,33.0,23.0,2176.0,24.0,12.0,1326.0,13.0,17.0,1166.0,11.0,2.0,133.0,1.0,,,,1.0,100.0,1.0,1.0,100.0,1.0,3.0,300.0,3.0,18.0,321.0,1.0,3.0,300.0,3.0,3.4354162,,4.669706,1.3181974,3.384282,25.0,103.0,,,
1541526,21.0,2644.0,29.0,14.0,1448.0,15.0,23.0,2567.0,26.0,37.0,4552.0,45.0,15.0,1148.0,12.0,3.0,116.0,0.0,9.0,925.0,9.0,1.0,100.0,1.0,1.0,100.0,1.0,2.0,125.0,1.0,14.0,375.0,2.0,,,,3.363339,,3.366678,1.5269063,2.2449958,29.0,77.0,,,
5272408,,,,2.0,111.0,1.0,,,,10.0,1800.0,18.0,1.0,100.0,1.0,,,,,,,,,,2.0,189.0,2.0,,,,1.0,100.0,1.0,,,,,,,,,,,,,
1161961,52.0,5619.0,56.0,60.0,7831.0,79.0,46.0,5102.0,58.0,23.0,2191.0,21.0,42.0,4118.0,44.0,9.0,523.0,3.0,9.0,675.0,6.0,,,,6.0,678.0,7.0,6.0,375.0,3.0,36.0,788.0,2.0,,,,3.4103634,,3.9364455,1.6997077,3.5006557,12.0,96.0,,,
94692,26.0,3256.0,36.0,28.0,4216.0,43.0,24.0,2093.0,21.0,8.0,668.0,6.0,11.0,1163.0,12.0,4.0,224.0,1.0,3.0,400.0,4.0,1.0,100.0,1.0,1.0,16.0,0.0,1.0,100.0,1.0,15.0,264.0,0.0,,,,3.849692,,4.578833,1.6184616,3.4880898,17.0,45.0,,,
77453,28.0,2390.0,24.0,10.0,792.0,8.0,31.0,4562.0,49.0,13.0,1252.0,12.0,14.0,1951.0,20.0,4.0,150.0,0.0,2.0,200.0,2.0,1.0,100.0,1.0,4.0,356.0,4.0,1.0,100.0,1.0,14.0,247.0,0.0,2.0,200.0,2.0,4.8192167,,3.9895682,1.8939209,4.62554,27.0,46.0,,,
1692507,27.0,3753.0,41.0,33.0,5348.0,54.0,23.0,2008.0,21.0,17.0,1452.0,14.0,16.0,1056.0,11.0,3.0,225.0,2.0,,,,4.0,400.0,4.0,,,,,,,21.0,658.0,2.0,5.0,700.0,7.0,3.891084,,4.781681,1.6351643,3.5492325,20.0,51.0,,,
11607,77.0,11206.0,115.0,56.0,7153.0,72.0,59.0,7084.0,78.0,28.0,2491.0,24.0,37.0,3602.0,37.0,9.0,597.0,5.0,7.0,550.0,5.0,,,,7.0,829.0,9.0,2.0,50.0,0.0,48.0,1205.0,3.0,4.0,400.0,4.0,3.8391063,,3.90883,1.712308,3.6643214,115.0,113.0,1.0,33.0,0.0
2130214,34.0,4052.0,44.0,22.0,2414.0,25.0,26.0,2024.0,20.0,13.0,981.0,9.0,10.0,411.0,5.0,2.0,61.0,0.0,1.0,25.0,0.0,1.0,100.0,1.0,5.0,405.0,4.0,3.0,145.0,1.0,23.0,482.0,2.0,,,,3.2952836,,4.8308806,1.6194128,3.2320936,28.0,31.0,,,
1099538,202.0,23985.0,257.0,169.0,23183.0,234.0,170.0,19833.0,212.0,110.0,10689.0,104.0,84.0,5797.0,58.0,46.0,2591.0,13.0,11.0,950.0,9.0,,,,13.0,1574.0,17.0,11.0,813.0,7.0,115.0,2585.0,9.0,,,,3.3494225,,4.1469707,1.6904222,3.4916987,72.0,320.0,,,
4878245,15.0,1210.0,13.0,13.0,1929.0,20.0,10.0,839.0,9.0,10.0,755.0,7.0,10.0,1012.0,10.0,1.0,33.0,0.0,2.0,300.0,3.0,,,,1.0,16.0,0.0,,,,9.0,206.0,1.0,,,,2.9957345,,3.6029508,1.6242397,2.9262886,32.0,24.0,,,
1210459,,,,1.0,187.0,2.0,,,,1.0,13.0,0.0,,,,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,2.3657143,,3.9202678,1.6552678,2.5066965,9.0,4.0,,,
9870,31.0,3484.0,37.0,29.0,4316.0,44.0,24.0,2412.0,26.0,19.0,1568.0,15.0,19.0,1088.0,10.0,1.0,33.0,0.0,,,,1.0,100.0,1.0,1.0,16.0,0.0,,,,21.0,283.0,0.0,,,,3.19386,,4.8107796,1.52039,3.07324,30.0,65.0,,,
1173566,101.0,12494.0,133.0,97.0,14435.0,147.0,59.0,5984.0,61.0,43.0,2986.0,27.0,39.0,2751.0,28.0,12.0,1032.0,9.0,4.0,250.0,2.0,,,,12.0,1152.0,12.0,6.0,450.0,4.0,49.0,866.0,1.0,1.0,100.0,1.0,3.7896307,,4.817974,1.624174,3.435725,37.0,154.0,,,
4500572,1.0,221.0,2.0,1.0,68.0,1.0,1.0,50.0,1.0,2.0,116.0,1.0,1.0,106.0,1.0,,,,1.0,100.0,1.0,1.0,100.0,1.0,1.0,16.0,0.0,,,,1.0,23.0,0.0,,,,3.035378,,4.2805624,2.4676628,2.6547804,87.0,3.0,,,
1307996,1.0,185.0,2.0,1.0,100.0,1.0,1.0,200.0,2.0,,,,2.0,106.0,1.0,1.0,100.0,1.0,,,,,,,,,,1.0,100.0,1.0,1.0,9.0,0.0,,,,,,,,,,,,,
1815148,27.0,3553.0,37.0,20.0,3372.0,34.0,30.0,3372.0,34.0,15.0,1539.0,15.0,12.0,1548.0,15.0,9.0,424.0,2.0,5.0,500.0,5.0,,,,2.0,189.0,2.0,2.0,110.0,1.0,16.0,793.0,9.0,,,,3.4729552,,4.403491,1.8600088,3.116607,33.0,41.0,,,
1485049,52.0,6349.0,68.0,33.0,4578.0,47.0,28.0,2281.0,24.0,21.0,2074.0,20.0,18.0,1382.0,13.0,6.0,349.0,2.0,3.0,300.0,3.0,,,,3.0,48.0,0.0,5.0,420.0,4.0,21.0,619.0,3.0,,,,3.8504438,,4.731256,1.6706873,3.56966,25.0,94.0,,,
77304,51.0,6172.0,66.0,32.0,3321.0,34.0,61.0,7176.0,77.0,35.0,3507.0,34.0,40.0,3997.0,40.0,18.0,717.0,2.0,13.0,1425.0,14.0,1.0,100.0,1.0,10.0,854.0,9.0,5.0,268.0,2.0,33.0,963.0,6.0,5.0,500.0,5.0,4.686846,,3.8851802,1.6869843,4.5194736,42.0,97.0,,,
5074371,4.0,610.0,6.0,7.0,950.0,10.0,3.0,257.0,3.0,4.0,400.0,4.0,3.0,112.0,1.0,1.0,100.0,1.0,,,,,,,,,,,,,4.0,71.0,0.0,,,,3.0891378,,4.508104,1.8403449,3.909138,2.0,7.0,,,
1434433,34.0,5505.0,63.0,19.0,2948.0,30.0,23.0,1889.0,17.0,18.0,1852.0,18.0,18.0,958.0,8.0,3.0,183.0,1.0,2.0,200.0,2.0,,,,,,,1.0,100.0,1.0,21.0,465.0,1.0,,,,3.884316,,4.7460227,1.4464116,3.5977414,17.0,60.0,,,
1611765,17.0,2563.0,28.0,18.0,2787.0,28.0,16.0,1763.0,18.0,7.0,713.0,7.0,5.0,363.0,4.0,1.0,50.0,0.0,1.0,100.0,1.0,,,,,,,,,,12.0,261.0,0.0,,,,3.3366,,4.791633,2.0013387,3.513668,26.0,26.0,,,
1678857,9.0,807.0,9.0,10.0,1472.0,15.0,10.0,1242.0,12.0,5.0,239.0,2.0,2.0,231.0,3.0,1.0,100.0,1.0,1.0,25.0,0.0,,,,1.0,189.0,2.0,2.0,125.0,1.0,6.0,70.0,0.0,,,,3.4298122,,4.8200536,1.5729758,3.4041555,15.0,24.0,1.0,100.0,1.0
5211,31.0,3555.0,38.0,28.0,3672.0,37.0,26.0,3360.0,35.0,10.0,739.0,7.0,13.0,1054.0,10.0,2.0,44.0,0.0,2.0,200.0,2.0,,,,1.0,89.0,1.0,2.0,200.0,2.0,17.0,287.0,0.0,1.0,100.0,1.0,3.4809027,,4.7740884,1.4300267,3.565938,44.0,52.0,,,
